nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Flávia Morais,F,26/04/1969,86 dias,6 dias,0 dias,123 reuniões,4 reuniões,0 reuniões,"296.315,47",31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,21783.99,78.57,,"1.110.232,70",110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.00,111580.78,111580.78,111580.78,,,"33.763,00",
Erika Kokay,F,15/08/1957,90 dias,1 dias,1 dias,132 reuniões,1 reuniões,16 reuniões,"220.065,03",21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,860.04,,"1.104.968,28",106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.20,109666.70,111532.23,111473.53,,,"33.763,00",
Geovania de Sá,F,30/03/1972,91 dias,1 dias,0 dias,15 reuniões,0 reuniões,0 reuniões,"308.059,34",24548.31,31895.95,46155.40,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,25683.39,12440.32,,"1.099.857,22",111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,,,"33.763,00",
Flávia Arruda,F,21/01/1980,60 dias,5 dias,4 dias,0 reuniões,1 reuniões,3 reuniões,"97.678,83",,,0.00,6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,15704.53,0.00,,"584.981,55",0.00,0.00,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,,,"33.763,00",
Greyce Elias,F,15/12/1981,77 dias,12 dias,3 dias,28 reuniões,4 reuniões,18 reuniões,"176.814,93",14671.44,21074.80,23586.32,35221.54,45590.67,15599.72,12425.68,2786.62,2040.22,3377.12,440.80,,"1.068.635,25",101294.97,95517.25,104632.97,104398.53,107931.21,110975.70,110129.51,110600.89,111580.83,111573.39,,,"33.763,00",1
Jandira Feghali,F,17/05/1957,91 dias,0 dias,1 dias,41 reuniões,0 reuniões,28 reuniões,"304.962,13",16677.60,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,20529.15,852.70,,"1.091.025,08",111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,,,"33.763,00",
Jaqueline Cassol,F,03/12/1974,81 dias,8 dias,3 dias,47 reuniões,8 reuniões,15 reuniões,"301.704,59",38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.70,11534.22,2240.92,7424.00,1140.31,,"1.101.655,82",111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,,,"33.763,00",
Iracema Portella,F,23/04/1966,35 dias,4 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"160.103,58",33126.14,37905.45,54717.25,-799.73,,,,17561.17,8098.80,9441.57,52.93,,"1.112.345,63",111653.55,110382.33,111176.32,111235.02,111235.02,111235.02,111235.02,111235.02,111304.78,111653.55,,,"33.763,00",
Joenia Wapichana,F,20/04/1973,83 dias,9 dias,0 dias,98 reuniões,12 reuniões,15 reuniões,"407.650,81",36130.43,59868.30,85352.21,48106.28,35824.32,43428.93,39248.21,28261.77,13771.27,16656.80,1002.29,,"928.898,32",91545.36,93767.62,92129.06,80310.66,79164.66,97275.18,102548.82,99850.50,95697.66,96608.80,,,"33.763,00",1
Jéssica Sales,F,28/11/1980,42 dias,45 dias,5 dias,0 reuniões,16 reuniões,2 reuniões,"372.946,86",36557.22,42553.73,47072.55,56770.07,58428.19,3133.62,11486.12,8024.13,2921.23,106000.00,0.00,,"1.115.845,95",111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111571.11,111647.46,111647.46,,,"33.763,00",
Joice Hasselmann,F,29/01/1978,87 dias,5 dias,0 dias,57 reuniões,3 reuniões,3 reuniões,"301.731,55",25636.10,21173.13,72944.98,50332.77,44859.38,25702.26,16939.86,18265.67,20711.16,5166.24,0.00,,"1.031.958,41",99430.88,106641.61,98487.95,101062.57,108786.73,110597.86,108539.98,102509.19,97950.82,97950.82,,,"33.763,00",
Lauriete,F,23/02/1970,89 dias,3 dias,0 dias,48 reuniões,2 reuniões,2 reuniões,"275.072,63",28596.39,36787.02,28706.65,38112.66,49288.05,30104.05,18543.11,15764.41,15009.24,7961.74,6199.31,,"1.078.709,33",104287.85,105889.29,107644.06,107644.06,107976.91,100506.22,110346.11,111471.61,111471.61,111471.61,,,"33.763,00",
Leandre,F,20/12/1975,80 dias,10 dias,2 dias,31 reuniões,4 reuniões,23 reuniões,"364.015,44",30663.14,49384.33,39707.22,42738.34,55109.67,32174.71,34082.73,28823.07,17999.54,31319.22,2013.47,,"1.099.930,90",108159.67,108159.67,109633.48,109791.39,109791.39,110801.97,109549.18,111428.41,111307.87,111307.87,,,"33.763,00",1
Liziane Bayer,F,24/01/1981,92 dias,0 dias,0 dias,54 reuniões,1 reuniões,18 reuniões,"432.476,73",24410.68,44680.51,52608.27,52869.92,60599.67,33727.59,34144.01,32890.25,31283.06,49719.23,15543.54,,"1.059.539,96",109492.14,104592.92,102932.25,102694.30,104044.41,103593.63,105180.10,107815.81,109597.20,109597.20,,,"33.763,00",1
Lídice da Mata,F,12/03/1956,89 dias,3 dias,0 dias,56 reuniões,4 reuniões,0 reuniões,"314.013,21",24968.53,36055.08,41685.69,36945.93,64741.89,25591.94,29647.64,17038.04,9156.67,25337.58,2844.22,,"1.097.526,02",105717.75,109880.24,107918.25,107472.66,111089.52,111089.52,111089.52,111089.52,111089.52,111089.52,,,"33.763,00",
Luisa Canziani,F,11/04/1996,82 dias,0 dias,10 dias,18 reuniões,0 reuniões,48 reuniões,"294.512,99",27680.49,45240.66,38296.02,34716.65,40742.27,35801.06,23760.78,18969.09,8973.68,13325.09,7007.20,,"1.065.687,38",111489.76,107944.29,101185.89,106123.31,110764.80,108871.95,100476.78,99154.41,109664.15,110012.04,,,"33.763,00",
Leda Sadala,F,11/06/1966,72 dias,18 dias,2 dias,24 reuniões,8 reuniões,15 reuniões,"359.497,14",32892.40,30026.99,55796.31,53049.21,51266.85,41748.71,31911.86,37292.55,15145.93,10021.33,345.00,,"1.101.943,16",111429.13,111306.30,109662.60,107931.96,110017.93,110446.45,110633.94,109994.10,111659.63,108861.12,,,"33.763,00",
