nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
David Miranda,M,10/05/1985,66 dias,15 dias,11 dias,23 reuniões,4 reuniões,7 reuniões,"242.667,95",35259.28,43349.65,32853.62,45091.15,29890.05,33147.86,10128.77,8151.54,-817.25,5613.28,0.00,,"937.841,64",111544.37,111544.37,56799.55,64345.04,100004.66,94914.31,97663.21,102324.88,100368.27,98332.98,,,"33.763,00",
David Soares,M,21/12/1973,63 dias,11 dias,3 dias,47 reuniões,12 reuniões,1 reuniões,"183.939,37",,,31858.14,35507.14,29111.16,37770.69,23083.39,13606.57,7900.18,4802.08,300.02,,"1.068.591,77",103135.91,105402.63,105964.51,99800.43,107637.25,108516.33,107977.68,108297.02,111277.52,110582.49,,,"33.763,00",2
Delegado Antônio Furtado,M,06/01/1972,90 dias,1 dias,1 dias,73 reuniões,6 reuniões,19 reuniões,"288.816,41",34263.89,43088.49,42959.20,32920.98,47359.21,16303.12,19852.22,12243.23,8092.66,27244.72,4488.69,,"1.115.182,54",110967.56,111125.87,111617.20,111617.20,111617.20,111623.07,111653.61,111653.61,111653.61,111653.61,,,"33.763,00",
Delegado Éder Mauro,M,14/12/1960,79 dias,3 dias,10 dias,4 reuniões,0 reuniões,12 reuniões,"325.195,22",46351.28,56697.20,17871.34,52514.33,52104.65,51446.49,39019.70,6514.58,2675.65,0.00,0.00,,"1.101.131,44",111587.65,111029.67,109774.54,111611.12,111611.12,111168.32,110779.91,107856.37,107856.37,107856.37,,,"33.763,00",
Delegado Waldir,M,28/11/1962,86 dias,6 dias,0 dias,7 reuniões,5 reuniões,44 reuniões,"149.309,65",14119.59,16610.96,17642.50,17254.73,17514.69,15282.52,15088.53,12955.79,10015.33,11921.51,903.50,,"987.728,92",101978.63,99618.58,96319.60,92534.14,92534.14,94998.88,101543.63,103436.75,102749.57,102015.00,,,"33.763,00",
Diego Garcia,M,10/10/1984,89 dias,3 dias,0 dias,134 reuniões,3 reuniões,43 reuniões,"263.861,19",9153.29,13917.88,34960.78,39069.90,47847.45,36301.69,32663.59,20367.53,6819.55,16986.39,5773.14,,"916.158,19",93054.98,91310.31,97522.54,98459.58,96593.67,96173.37,99859.25,84300.62,79772.64,79111.23,,,"33.763,00",
Delegado Pablo,M,26/07/1976,78 dias,0 dias,14 dias,112 reuniões,0 reuniões,30 reuniões,"369.191,63",28267.00,51491.99,65512.79,64732.08,41341.87,31189.75,32398.76,26832.20,17440.00,7823.37,2161.82,,"977.905,08",99985.47,73344.51,92308.59,99950.28,106315.17,106987.85,101323.39,101342.41,107310.62,89036.79,,,"33.763,00",
Denis Bezerra,M,17/03/1980,88 dias,1 dias,3 dias,70 reuniões,1 reuniões,9 reuniões,"400.260,91",46094.78,53674.69,52475.51,52185.85,40861.85,33475.40,24901.37,18145.39,17544.23,44329.57,16572.27,,"1.078.559,49",110743.73,108800.92,108144.99,106767.55,106327.19,107307.01,102136.31,107474.82,111617.19,109239.78,,,"33.763,00",
Delegado Marcelo Freitas,M,04/03/1976,80 dias,6 dias,6 dias,66 reuniões,1 reuniões,1 reuniões,"290.526,28",31421.05,43796.10,37148.52,24745.40,39348.34,29355.58,26303.93,19417.00,19550.28,18633.84,806.24,,"1.067.668,96",104088.18,105813.10,103290.21,102664.07,110724.59,111483.80,111483.80,107272.97,107289.51,103558.73,,,"33.763,00",
Diego Andrade,M,08/08/1977,70 dias,22 dias,0 dias,7 reuniões,11 reuniões,9 reuniões,"217.838,28",28386.47,32013.45,32859.73,17554.55,41393.91,15224.17,22079.82,8663.35,11458.92,8203.91,0.00,,"1.109.625,13",111580.82,111580.82,111580.82,111580.82,111580.82,111535.53,111241.15,110635.35,109154.50,109154.50,,,"33.763,00",
